Team Name,Goals per game,Conceded per game,Clean sheets
Liverpool,2.16,1.13,0.34
Manchester City,2.39,0.92,0.33
Arsenal,2.34,1.03,0.38
Aston Villa,1.67,1.27,0.28
Spurs,1.94,1.60,0.24
Manchester United,1.47,1.23,0.38
Brighton,1.89,1.47,0.23
West Ham,1.28,1.58,0.22
Wolves,1.11,1.53,0.25
Newcastle United,1.91,1.22,0.33
Chelsea,1.27,1.40,0.24
Fulham,1.42,1.48,0.23
Everton,0.97,1.42,0.27
Crystal Palace,1.11,1.45,0.23
Bournemouth,1.11,1.87,0.21
Brentford,1.48,1.47,0.25
Nottingham Forest,1.13,1.81,0.19
Sheffield United,0.85,2.54,0.04
